slug,name,skin_registered,public_coverage,rtl_status,rtl_evidence_scope,checked_at,source_url
galaxy-z-flip6,Galaxy Z Flip6,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-flip7,Galaxy Z Flip7,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-flip7-fe,Galaxy Z Flip7 FE,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-flip8,Galaxy Z Flip8,yes,published,listed,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-z-fold2,Galaxy Z Fold2,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-z-fold3,Galaxy Z Fold3,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-fold4,Galaxy Z Fold4,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-fold5,Galaxy Z Fold5,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-fold6,Galaxy Z Fold6,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-fold7,Galaxy Z Fold7,yes,published,listed,reservation-catalog-live-reservation,2026-09-23,https://developer.samsung.com/remotetestlab/devices
galaxy-z-fold8,Galaxy Z Fold8,yes,published,listed,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-z-fold8-ultra,Galaxy Z Fold8 Ultra,yes,published,unknown,featured-devices,2026-09-22,https://developer.samsung.com/remote-test-lab
galaxy-a01-core,Galaxy A01 Core,yes,published,unknown,not-checked,,
galaxy-a02s,Galaxy A02s,yes,published,unknown,not-checked,,
galaxy-a03s,Galaxy A03s,yes,published,unknown,not-checked,,
galaxy-a04,Galaxy A04,yes,published,unknown,not-checked,,
galaxy-a05,Galaxy A05,yes,published,unknown,not-checked,,
galaxy-a05s,Galaxy A05s,yes,published,unknown,not-checked,,
galaxy-a06,Galaxy A06,yes,published,unknown,not-checked,,
galaxy-a07,Galaxy A07,yes,published,unknown,not-checked,,
galaxy-a11,Galaxy A11,yes,published,unknown,not-checked,,
galaxy-a12,Galaxy A12,yes,published,unknown,not-checked,,
galaxy-a13-5g,Galaxy A13 5G,yes,published,unknown,not-checked,,
galaxy-a14-5g,Galaxy A14 5G,yes,published,unknown,not-checked,,
galaxy-a15-5g,Galaxy A15 5G,yes,published,unknown,not-checked,,
galaxy-a16-5g,Galaxy A16 5G,yes,published,unknown,not-checked,,
galaxy-a17-5g,Galaxy A17 5G,yes,published,unknown,not-checked,,
galaxy-a21s,Galaxy A21s,yes,published,unknown,not-checked,,
galaxy-a22,Galaxy A22,yes,published,unknown,not-checked,,
galaxy-a22-5g,Galaxy A22 5G,yes,published,unknown,not-checked,,
galaxy-a23-5g,Galaxy A23 5G,yes,published,unknown,not-checked,,
galaxy-a24,Galaxy A24,yes,published,unknown,not-checked,,
galaxy-a26-5g,Galaxy A26 5G,yes,published,unknown,not-checked,,
galaxy-a27-5g,Galaxy A27 5G,yes,published,unknown,not-checked,,
galaxy-a31,Galaxy A31,yes,published,unknown,not-checked,,
galaxy-a32,Galaxy A32,yes,published,unknown,not-checked,,
galaxy-a32-5g,Galaxy A32 5G,yes,published,unknown,not-checked,,
galaxy-a33-5g,Galaxy A33 5G,yes,published,unknown,not-checked,,
galaxy-a34-5g,Galaxy A34 5G,yes,published,unknown,not-checked,,
galaxy-a35-5g,Galaxy A35 5G,yes,published,unknown,not-checked,,
galaxy-a36-5g,Galaxy A36 5G,yes,published,unknown,not-checked,,
galaxy-a37-5g,Galaxy A37 5G,yes,published,unknown,not-checked,,
galaxy-a42-5g,Galaxy A42 5G,yes,published,unknown,not-checked,,
galaxy-a52,Galaxy A52,yes,published,unknown,not-checked,,
galaxy-a53-5g,Galaxy A53 5G,yes,published,unknown,not-checked,,
galaxy-a54-5g,Galaxy A54 5G,yes,published,unknown,not-checked,,
galaxy-a55-5g,Galaxy A55 5G,yes,published,unknown,not-checked,,
galaxy-a56-5g,Galaxy A56 5G,yes,published,unknown,not-checked,,
galaxy-a57-5g,Galaxy A57 5G,yes,published,unknown,not-checked,,
galaxy-a71,Galaxy A71,yes,published,unknown,not-checked,,
galaxy-a72,Galaxy A72,yes,published,unknown,not-checked,,
galaxy-a73-5g,Galaxy A73 5G,yes,published,unknown,not-checked,,
galaxy-note10,Galaxy Note10,yes,archived,unknown,not-checked,,
galaxy-note10-lite,Galaxy Note10 Lite,yes,published,unknown,not-checked,,
galaxy-note10-plus,Galaxy Note10 Plus,yes,archived,unknown,not-checked,,
galaxy-note20,Galaxy Note20,yes,published,unknown,not-checked,,
galaxy-note20-ultra,Galaxy Note20 Ultra,yes,published,unknown,not-checked,,
galaxy-note8,Galaxy Note8,yes,archived,unknown,not-checked,,
galaxy-note9,Galaxy Note9,yes,archived,unknown,not-checked,,
galaxy-note-fe,Galaxy Note FE,yes,archived,unknown,not-checked,,
